"Measure","Aliases"
"D Solver Demand Slice Threshold","['Solver Demand Slice Threshold']"
"D Solver Demand Slice Factor","['Solver Demand Slice Factor']"
"D Solver Delete Data","['Solver Delete Data']"
"SCH Parent Resource Modelling Violation","['Parent Resource Modelling Violation']"
"SCH Parent Resource Attached To CalendarID","['Parent Resource Attached To CalendarID']"
"SCH PO Quantity Null","['PO Quantity Null']"
"SCH PO Goods Receiving Date Null","['PO Goods Receiving Date Null']"
"SCH Overtime End Time Before Overtime Start Time","['Overtime End Time Before Overtime Start Time']"
"SCH Overtime Duration UOM Missing Or Invalid","['Overtime Duration UOM Missing']"
"SCH Overtime Additional Capacity Negative","['Overtime Added Capacity Negative']"
"SCH Override End Time Before Override Start Time","['Override End Time Before Override Start Time']"
"SCH Override Duration UOM Missing Or Invalid","['Override Duration UOM Missing']"
"SCH Override Capacity Negative","['Override Capacity Negative']"
"SCH Overlapping Shifts Present","['Overlapping Shifts Present']"
"SCH Overlapping Calendar Exceptions Present","['Overlapping Calendar Exceptions Present']"
"SCH Production Requirement Completion Type Invalid","['Completion Type Invalid']"
"SCH Processing Phase Violation","['Processing Phase Violation']"
"SCH Predecessor Operation Invalid","['Predecessor Operation Invalid']"
"SCH Population Size Negative Or Null","['Population Size Negative Or Null']"
"SCH Phase Duration UOM Invalid","['Phase Duration UOM Invalid']"
"SCH Phase Duration Type Invalid","['Phase Duration Type Invalid']"
"SCH Phase Duration Negative","['Phase Duration Negative']"
"LAST UPDATED BY","[]"
"D Suggested PO Start Date","['Start Date']"
"D Suggested PO Quantity","['Approved Purchase Recommendations', 'Approved Purchase Recommendations']"
"D Suggested PO Delivery Date","['Delivery Date']"
"D Solver Inventory Plan Bands","['Solver Inventory Plan Bands']"
"D Solver Flag Try Material Reallocation In RCA","['Solver Flag Try Material Reallocation In RCA']"
"D Solver Flag Respect Freeze Window For WIPs","['Solver Flag Respect Freeze Window For WIPs']"
"D Solver Flag Minimize Inventory Build Ahead","['Solver Flag Minimize Inventory Build Ahead']"
"D Solver Flag Inventory Plan Strategy","['Solver Flag Inventory Plan Strategy']"
"L0 System C4 TKM Load Factor","['Load Factor']"
"D STO Alert Projected Target DOS","['Target DOS@Commit Date']"
"SCH Resource Capacity Negative","['Resource Capacity Negative']"
"SCH Resource Attached To Multiple Calendar IDs","['Resource Attached To Multiple Calendar IDs']"
"SCH Required Resource Strength Negative","['Required Resource Strength Negative']"
"SCH Required Resource Strength Greater Than Base Strength","['Required Resource Strength Greater Than Base Strength']"
"SCH Request Parameters Missing","['Request Parameters Missing']"
"SCH Relative Type Weekly Downtime Violation","['Relative Type Weekly Downtime Violation']"
"SCH Relative Type Downtime Violation","['Relative Type Downtime Violation']"
"SCH Relation Type Violation","['Relation Type Violation']"
"SCH Relation Type Invalid","['Relation Type Invalid']"
"SCH Production Requirements Make to Order","['Make to Order']"
"SCH Production Requirements Deliver from Stock","['Satisfy from Stock']"
"SCH Production Requirements Completion Type","['Completion Type']"
"SCH Production Requirement Quantity Negative Or Null","['Demand Quantity Negative or Null']"
"SCH Production Requirement Due Date Before Origin Start Date","['Due Date Before Origin Start Date']"
"SCH Resource Not Attached To Any CalendarID","['Resource Not Attached To Any CalendarID']"
"SCH Resource Location Association","['Resource Location Assoc']"
"SCH Resource Holiday Flag","['Resource Holiday Flag']"
"SCH Resource Holiday Description","['Description']"
"SCH Resource Consumption Association","['Resource Consumption']"
"SCH Resource Capacity Zero","['Resource Capacity Zero']"
"LAST UPDATE DATE DC Inventory","['LAST UPDATE DATE']"
"LAST UPDATE DATE","[]"
"D Shipping Holiday Number","[]"
"D Shipment Plan Recommendation Final","['Final Shipment Plan']"
"D Shipment Plan Override","['Shipment Plan Override']"
"L0 System C9 Distance","['System Input']"
"D Shipment Plan Approval","['Shipment Plan Approval']"
"L0 System C9 Container Weight","['Container Weight']"
"D Shipment Delivery Date","['Shipment Delivery Date']"
"L0 System C4 Weight","['Shipment Weight']"
"D Routing Item Group Association","[]"
"D Routing End Date Override","[]"
"D Routing End Date","['Routing End Date', 'Routing End Date']"
"SCH Same Resource Attached As Parent And Child",""
"SCH Resource Unconstrained Flag","['Unconstrained']"
"SCH Resource To Calendar Association","['Resource to Calendar Association']"
"SCH Resource Parent Association",""
"L0 System C4 TKM","['System TKM']"
"L0 System C4 Shipment Date","['System Input']"
"D STO Alert Projected DOS","['DOS@Commit Date']"
"D STO Alert Line Detail ETA Analytics","[]"
"D STO Alert Lane Lead Time","[]"
"D STO Alert Intransit ETA Analytics","[]"
"D STO Alert InTransit Delivery Date","['InTransit Delivery Date']"
"Launch Date",""
"Late Short Quantity Event",""
"SCH Shift Start Time Missing Or Invalid","['Shift Start Time Missing Or Invalid']"
"SCH Shift End Time Missing Or Invalid","['Shift End Time Missing Or Invalid']"
"SCH Shift End Time Before Shift Start Time","['Shift End Time Before Shift Start Time']"
"SCH Shift Day Indicator Missing Or Invalid","['Shift Day Indicator Missing Or Invalid']"
"SCH Shelf Life UOM Missing","['Shelf Life UOM Missing']"
"SCH Setup Phase Violation","['Setup Phase Violation']"
"SCH Scheduling Chunk Negative Or Null","['Scheduling Chunk Negative Or Null']"
"D STO Alert Current Target DOS","['Target DOS@Current Date']"
"D STO Alert Current DOS","['DOS@Current Date']"
"Late %",""
"Late",""
"D SS Pre-Build Node Marker","['SS Pre-Build Node Marker']"
"D Routing Start Date Override","[]"
"D Routing Start Date","['Routing Start Date', 'Routing Start Date']"
"D Routing Lead Time Override","[]"
"D Routing Lead Time","['Mfg Lead Time', 'Mfg Lead Time']"
"SCH WO Earliest Start Date",""
"SCH WO Due Date Null","['WO Due Date Null']"
"SCH WO Completion Type Invalid","['WO Completion Type Invalid']"
"SCH Unload Phase Violation","['Unload Phase Violation']"
"SCH Total Warning Count","['Total Warning Count']"
"SCH Total Error Count","['Total Error Count']"
"SCH Successor Operation Invalid","['Successor Operation Invalid']"
"SCH StopT Violation","['StopT Violation']"
"SCH StopQ Violation","['StopQ Violation']"
"SCH StopI Violation","['StopI Violation']"
"SCH StopA Violation","['StopA Violation']"
"SCH Slack Duration UOM Missing Or Invalid","['Slack Duration UOM Missing Or Invalid']"
"SCH Slack Duration Negative","['Slack Duration Negative']"
"SCH Shifts Not Expanding 24 Hours","['Shifts Not Expanding 24 Hours']"
"SCH Shifts Expanding More Than 24 Hours","['Shifts Expanding More Than 24 Hours']"
"SCH Shift Strength Override Negative","['Shift Strength Override Negative']"
"SCH Weekly Downtime Type Invalid","['Weekly Downtime Type Invalid']"
"SCH Weekly Downtime Start Time Missing Or Invalid","['Weekly Downtime Start Time Missing Or Invalid']"
"SCH Weekly Downtime End Time Missing Or Invalid","['Weekly Downtime End Time Missing Or Invalid']"
"SCH Weekly Downtime End Time Before Weekly Downtime Start Time","['Weekly Downtime End Time Before Weekly Downtime Start Time']"
"SCH Weekly Downtime Duration UOM Missing Or Invalid","['Weekly Downtime Duration UOM Missing Or Invalid']"
"SCH Weekly Downtime Duration Missing Or Invalid","['Weekly Downtime Duration Missing Or Invalid']"
"SCH WO Quantity Null","['WO Quantity Null']"
"D Resource Routing Association","[]"
"D Resource Priority","['Resource Priority']"
"Last User Updated","[]"
"Last Updated Time","[]"
"D Requirement Plan Definition","['Requirement Plan Definition']"
"D Request vs Commits LC","['Difference between Request and LC Commits']"
"D Receiving Holiday Number","[]"
"D Rebalance Need WOS Threshold by Day","['Need WOS Threshold']"
"SCH WO Latest End Date",""
"D Rebalance Lane Lead Time","['Rebalance Lane Lead Time']"
"D Rebalance Lane Association","['Rebalance Lane Association']"
"D Rebalance Exclude Item Location","['Exclude ?']"
"D Rebalance Exclude Brand Location","['Exclude ?']"
"D Rebalance Excess WOS Threshold by Day","['Excess WOS Threshold']"
"D Rebalance Excess Rule","['Excess Threshold Rule']"
"D Rebalance Excess Qty Threshold Balance","[]"
"SCH o9 Item BOM Routing Priority","['o9 Maintained Input']"
"SCH o9 Item BOM Routing Association Boolean","['o9 Maintained Input']"
"SCH o9 Item BOM Routing Active To","['o9 Maintained Input']"
"SCH o9 Item BOM Routing Active From","['o9 Maintained Input']"
"SCH o9 BOM Quantity Produced Per","['o9 Maintained Input']"
"SCH o9 BOM Quantity Consumed Per","['o9 Maintained Input']"
"SCH o9 BOM Quantity Consumed Operation","['o9 Maintained Input']"
"SCH o9 BOM Quantity Consumed Fixed","['o9 Maintained Input']"
"SCH Work Order Completion Type",""
"D Re-Order Point WOS","['Re-Order Point DOS']"
"D RTF","['Previous Commit']"
"D RM Planner Material Constraint Flag","['Prioritized Material Constraints', 'Prioritized Material Constraints']"
"D Purchase Requirement Generation Type","['Purchase Requirement Strategy']"
"L0 System Mobile Container Weight","['Container Weight']"
"L0 System Electricity Renewable %","['Renewable %']"
"D Production Plan Recommendation In Release Window OverRide","['Override']"
"L0 System Electricity Date","['Date Input']"
"D Production Plan Approval","['Approve']"
"D Rebalance Need Rule","['Need Threshold Rule']"
"D Rebalance Need Inventory Inputs Carryover","[]"
"D Rebalance Lane Use Constrained Lot Size","['Use Constrained Lot Size ?']"
"D Rebalance Lane Priority","['Rebalance Lane Priority']"
"D Rebalance Lane Min Lot Size - Standard","['Rebalance Min Lot Size - Standard']"
"D Rebalance Lane Min Lot Size - Constrained","['Rebalance Min Lot Size - Constrained']"
"D Rebalance Lane Lot Size Increment","['Rebalance Lot Size Increment']"
"SHIP TO LOCATION CODE","[]"
"SHIP TO DC","[]"
"SHIP TO","['SHIP TO LOCATION']"
"SHIP STATE","['SHIP TO STATE']"
"SHIP LOC TYPE","['SHIP TO LOC TYPE']"
"SHIP FROM LOCATION","[]"
"SHIP FROM LOC TYPE","[]"
"SHIP FROM DESCRIPTION","[]"
"SHIP FROM CLLI","[]"
"SHIP DESC","['SHIP TO DESC']"
"SHIP CLLI","['SHIP TO CLLI']"
"SES Model","[]"
"SERVICE LEVEL","[]"
"SCH o9 Material Make To Order","['o9 Maintained Input']"
"SCH o9 Material Location Association Boolean","['o9 Maintained Input']"
"D Rebalance Excess Qty Threshold","['Excess Qty Threshold']"
"D Producer To Producer To Pegged Quantity LC",""
"D Producer To Producer To Pegged Quantity COC Change%",""
"D Producer To Producer From Pegged Quantity UI",""
"D Producer To Producer From Pegged Quantity LC",""
"D Producer To Producer From Pegged Quantity COC Change %",""
"SO Commit Actual Ship Date Log","[]"
"SO Commit Actual Delivery Date Log","[]"
"SO Actual Shipment Sell In Quantity","[]"
"SO Actual Delivery Date","[]"
"SO Actual Delivered Quantity Log","[]"
"SO Actual Delivered Quantity","[]"
"SM Setup Cost per Period","['Setup Cost per Period']"
"SM Holding Cost per Period","['Holding Cost per Period']"
"SHIPPED ITEM","[]"
"SHIP ZIP","['SHIP TO ZIP']"
"SHIP TO ORG","[]"
"SO Commit Quantity Baseline","[]"
"SO Commit Last Changed Date Log","[]"
"SO Commit Delivered Quantity Override","[]"
"SO Commit Delivered Quantity Log","[]"
"SO Commit Delivered Quantity Baseline","[]"
"SO Commit Date Override","[]"
"SO Commit Date Log","[]"
"SO Commit Date Baseline","[]"
"SO Commit Creation Date Log","[]"
"D Production Holiday Intermediate","[]"
"D Production Holiday","['Production Holiday']"
"D Product Group Build Late Input","['Product Group Build Late Limit']"
"D Product Group Build Ahead Input","['Product Group Build Ahead Limit']"
"D Product Build Late Input","[]"
"D Product Build Ahead Input","[]"
"D Producer To Producer To Pegged Quantity UI",""
"ET Simulation Group","[]"
"D Procurement Forecast within Lead Time For Starts","['Request Within Lead Time']"
"SO Milestone Commit Quantity","['Milestone Commit Quantity']"
"SO Milestone Commit Last Update Date","['Milestone Commit Last Update Date']"
"SO Milestone Commit Date","['Milestone Commit Date']"
"SO Maintenance",""
"SO Lines Impacted","[]"
"SO Line Impact",""
"SO Header Status","['Header Status']"
"SO Header Last Update Date","['Header Last Update Date']"
"SO Header Creation Date","['Header Creation Date']"
"SO Delivery Status Log","[]"
"SO Delivery Status","[]"
"SO Delivered Quantity Log","[]"
"SO Commit Quantity Override","[]"
"SO Commit Quantity Log","[]"
"SO Planned Delivery Quantity Log","[]"
"SO Planned Delivery Quantity","[]"
"SO Planned Delivery Date Log","[]"
"SO Planned Delivery Date","[]"
"SO Milestone Request Quantity","['Milestone Request Quantity']"
"SO Milestone Request Date","['Milestone Request Date']"
"SO Milestone Last Update Date","['Milestone Last Update Date']"
"SO Milestone Delivery Quantity","[]"
"SO Milestone Delivery Date","[]"
"L0 System Electricity Consumption Classification","['Consumption Classification']"
"D Procurement Release Window Input","['Release Window']"
"D Procurement Release Fence Start Bucket Input","['Release Fence']"
"D Procurement Release Fence Buckets","['Final Release Fence']"
"L0 System Electricity Consumption","['Electricity Consumption']"
"L0 System C9 Weight","['Shipment Weight']"
"L0 System C9 TKM Load Factor","['Load Factor']"
"Location Realignment Percentage Weighted",""
"L0 System C9 TKM","['System TKM']"
"L0 System C9 Shipment Date","['System Input']"
"L0 System C9 Final Weight","['Final Weight']"
"Location Attribute2 Mapping","[]"
"Location Attribute1 Validation","[]"
"SO QTY VALUE","[]"
"SO QTY SP","['SO QTY']"
"D Procurement Forecast COC Upper Threshold %","['Procurement Forecast COC Upper Threshold %']"
"D Procurement Forecast COC Lower Threshold %","['Procurement Forecast COC Lower Threshold %']"
"D ProcLane Shipping Holiday Number","[]"
"D ProcLane Shipping Holiday Intermediate","[]"
"D ProcLane Shipping Holiday","[]"
"D ProcLane Receiving Holiday Number","[]"
"D ProcLane Receiving Holiday","[]"
"SO Provisioning",""
"D Plan Current Bucket","['Plan Current Bucket']"
"Location Attribute1 Mapping","[]"
"List of Opportunity Types","[]"
"D PROC Frozen Window By Item Location Supplier Location Intermediate",""
"List of Opportunity Stages","[]"
"D PO Recommendation Final","['Purchase Recommendation Final']"
"Like Item Similarity",""
"SO Replenishment",""
"Like Item Selected","[]"
"Like Item Search Space","[]"
"Like Item Rank",""
"Like Item Distance",""
"Like Item Actual","[]"
"Lead Time(Days)","[]"
"Lead Time Override","[]"
"Lead Time",""
"SO Request Creation Date Log","[]"
"SO Request Actual Ship Date Log","[]"
"D PO Recommendation Approval","['Approval']"
"Location Realignment Percentage",""
"D PO Alert Request ETA","[]"
"Location Realignment Created On",""
"D PO Alert Projected Target DOS","['Target DOS@Commit Date']"
"Location Realignment Created By",""
"D PO Alert Projected DOS","['DOS@Commit Date']"
"Location Holiday Calendar Number","[]"
"Location Holiday Calendar Daily Number","[]"
"Location Holiday Calendar Daily","[]"
"Location Holiday Calendar","[]"
"D Plan Start Bucket","['Plan Start Bucket']"
"D Plan End Bucket","['Plan End Bucket']"
"D Plan Date Node Marker","['Plan Date Node Marker']"
"SP Intermittency Flag","[]"
"SP EOL Horizon","[]"
"SOURCE LINE ID","[]"
"SOURCE HEADER ID","[]"
"D PO Alert Goods Receipt Quantity","['Goods Receipt Quantity']"
"D PO Alert Goods Receipt Date","['Goods Receipt Date']"
"Location Delete Flag Override","[]"
"D PO Alert Current Target DOS","['Target DOS@Current Date']"
"Location Delete Flag Final","[]"
"D PO Alert Current DOS","['DOS@Current Date']"
"D PO Alert Commit ETA","[]"
"SO SHIPMENT NUMBER","[]"
"SO SHIPMENT LINE NO","[]"
"SO Request Quantity Log","[]"
"SO Request Last Changed Date Log","[]"
"SO Request Date Log","[]"
"SSIS Indicator for PR","[]"
"SSIS Batch Status","[]"
"SS/LR","[]"
"SS Build Ahead Limit","['Safety Stock Build Ahead (in Days)']"
"Location Delete Flag","[]"
"SP Variability Threshold","[]"
"SP Segmentation History Period","[]"
"D PO Alert ASN ETA","[]"
"Location Attribute3 Mapping","[]"
"Location Attribute2 Validation","[]"
"Low $/ High $/ High $ High Usage","[]"
"Log Table Column","['Log Table Column']"
"D OBO Material Constraint Quantity",""
"D OBO Capacity Constraint Quantity",""
"SP Sales Volume Threshold","[]"
"SP NPI Horizon","[]"
"M Capacity Short Late RCA Quantity","['Capacity Short Late RCA Quantity']"
"Log Out Table Column","['Out Table Column']"
"STLF Non KIL","[]"
"STLF Model","[]"
"D Number Base Overloads","['Number Base Overloads']"
"D Netting Unforecasted Orders","['Unforecasted orders']"
"Log Key Columns For Version","['Key Columns For Version']"
"Location Type Delete Flag Override","[]"
"Location Type Delete Flag Final","[]"
"Location Type Delete Flag","[]"
"D Netting New Orders","['New Orders']"
"D Netting New Forecast","['New Forecast']"
"D Netting Committed Orders","['Committed Orders']"
"Location Realignment Percentages Sum","['Realignment % Sum']"
"STLF Cat9","[]"
"M Beginning On Hand PF Sim","[]"
"Item ShipTo Location Realignment Created On",""
"M Beginning On Hand ET Sim","[]"
"STO Line Detail Delivered Quantity by EquipmentID","['Delivered Quantity']"
"STO Line Detail Delivered Quantity Log","[]"
"L0 System C4 Final Weight","['Final Weight']"
"L0 System C4 Distance","['System Input']"
"STO Line Detail Creation Date Log","[]"
"L0 System C4 Container Weight","['Container Weight']"
"L0 Mobile Shipment Date","['Final']"
"STO Line Detail Creation Date BODLane Location","['Line Detail Creation Date']"
"STO Line Detail Creation Date","[]"
"L0 C9 Shipment Date","['Final']"
"L0 C4 Shipment Date","['Final']"
"Kmeans Max Iterations","[]"
"KIL Segment","[]"
"JOB COMPLETION DATE","[]"
"STO Line Detail Open Quantity by EquipmentID","['Open Quantity']"
"M Capacity RCA UI",""
"STO Line Detail Last Update Date Log","[]"
"M Capacity Constrained","['Capacity Constrained']"
"M CM Flex Capacity Band1","['Flex Band1 Units']"
"STO Line Detail Last Update Date BODLane Location","['Line Detail Last Update Date']"
"STO Line Detail Last Update Date","[]"
"STO Line Detail Issued Quantity by EquipmentID","['Issued Quantity']"
"Item ShipTo Location Realignment Percentages Sum","[]"
"Item ShipTo Location Realignment Percentage Weighted",""
"STO Line Detail Estimated Container Delivery Date by EquipmentID","['Container ETA']"
"STO Line Detail Delivery Date Scenario Final by EquipmentID","['Line Delivery Date']"
"STO Line Detail Delivery Date Override","[]"
"STO Line Detail Delivery Date Log","[]"
"Item ShipTo Location Realignment Percentage",""
"STO Line Detail Delivery Date Baseline","[]"
"D Merge Intransit Params","['Merge Intransit Params']"
"D Merge Demand Params","['Merge Demand Params']"
"D Max Lateness Buckets","['Max Lateness Buckets']"
"Item ShipTo Location Realignment Created By",""
"STO Line Detail Ship Date by EquipmentID","['Line Ship Date']"
"STO Line Detail Ship Date Log","[]"
"Item Selling Price","[]"
"Item Region Association","[]"
"STO Line Detail Ship Date","[]"
"STO Line Detail Quantity Override","[]"
"STO Line Detail Quantity Log","[]"
"STO Line Detail Quantity Increment %","[]"
"STO Line Detail Quantity Final by EquipmentID","['Line Quantity']"
"STO Line Detail Quantity Baseline","[]"
"M Demand Priority Plugin Output Rules Used Description","['Demand Priority Plugin Output Rules Used Description']"
"M Demand Priority Plugin Output Rules Used","['Demand Priority Plugin Output Rules Used']"
"STO Solver ETA Enabled","[]"
"STO Milestone Detail Last Update Date","['Milestone Detail Last Update Date']"
"STO Milestone Delivery Date","['Milestone Delivery Date']"
"STO Milestone Commit Quantity","['Milestone Commit Quantity']"
"STO ML Predicted Arrival Date","[]"
"STO Line Detail Status by EquipmentID","['Line Status']"
"STO Line Detail Status Log","[]"
"M Demand Priority Plugin Output Normalised","['Demand Priority Plugin Output Normalised']"
"D Netting Committed Forecast","['Committed Forecast']"
"D Need Item Stock Inv Days Threshold","['Need DOS Threshold']"
"D Need Item Inv Days Threshold","['Need DOS Threshold']"
"D Merge STO Params","[]"
"D Merge Purchase Orders Params","[]"
"D Merge Purchase Orders ASN Params","[]"
"D Merge Production Order Params","['Merge Production Order Params']"
"D Merge OnHand Params","['Merge OnHand Params']"
"Sales Fcst Abs Error","[]"
"Safety Stock Priority","[]"
"M Demand Priority Plugin Output","['Demand Priority Plugin Output']"
"D Material Short Late RCA Quantity","['Material Short Late RCA Quantity']"
"D Material Requirements Generation Type","['Requirements Plan Strategy ( Starts or Outs )']"
"D Material RCA Quantity COC Change %","['COC Material Constraint Change %']"
"D Material RCA Quantity - WIP","[]"
"D Material Production RCA Pegged Qty","[]"
"D Material Production Quantity Plan Output LC","['LC Material Production Quantity']"
"D Material Production Quantity Plan Output COC Change %","['COC Material Production Change %']"
"D Material Production Plan From Pegging","['Material Production Plan From Pegging']"
"SUPPLIER SITE CODE","[]"
"SUBINVENTORY","[]"
"SUB INV CREATION DATE","['CREATION DATE']"
"SUB INV CREATED BY","['CREATED BY']"
"STOCK FLAG","[]"
"D Material Constrained","['Material Constrained']"
"M Demand Build Late Limit","['Demand Build Late Limit']"
"M Demand Build Ahead Limit","['Demand Build Ahead Limit']"
"M DIST Final Activity Share","['Sourcing Proportion Published']"
"D MFG Produced Yield Time Varying Override Intermediate","[]"
"D Material Production Pegged Quantity UI",""
"D Material Production Pegged Quantity LC",""
"D Material Production Pegged Quantity COC Change %",""
"M DIST Activity Share Override","['Sourcing Proportions Override']"
"D Material Production Cascading RCA Quantity",""
"D Material Produced Quantity Per Time Varying","['Material Produced Quantity Per Time Varying']"
"M DIST Activity Priority Time Varying Override","['Sourcing Priority Override']"
"M DIST Activity Priority Time Varying Final","['Sourcing Priority Published']"
"M Ending On Hand PF Sim","[]"
"M Ending On Hand PF","['Ending Stock']"
"Sales Fcst Bias","[]"
"Schedule Receipt Quantity","[]"
"Schedule Receipt Delivery Date","[]"
"Sched Receipt Quantity TG LC","[]"
"Scenario Name","['Scenario Name of Action Triggered']"
"Scenario Limit Per User Override","[]"
"Scenario Limit Per User Global","[]"
"Scenario Limit Per User","[]"
"Scenario Created Date","[]"
"Scenario Created By","[]"
"Scenario Age Threshold","[]"
"Scaling Factor","[]"
"Satisfied Orders (Out of Total Commit Order)",""
"Sales Volume Threshold","[]"
"D Material Consumption RCA Pegged Qty","[]"
"D Material Consumption Plan From Pegging","['Material Consumption Plan From Pegging']"
"D Material Consumed Quantity Per Time Varying","['Material Consumed Quantity Per Time Varying']"
"D MFG Produced Yield Time Varying","['Time Varying Produced Yield']"
"D MFG Produced Yield Static Override","[]"
"D MFG Produced Yield Static","['Static Produced Yield']"
"D MFG Consumed Yield Time Varying Override Intermediate","[]"
"D MFG Consumed Yield Time Varying Override","[]"
"D MFG Consumed Yield Time Varying","['Time Varying Consumed Yield']"
"D MFG Consumed Yield Static Override","[]"
"D MFG Consumed Yield Static","['Static Consumed Yield']"
"D Lower Threshold WOS","['D Lower Threshold DOS']"
"D Load Plan Resource Consumption Quantity UI",""
"D Load Plan Resource Consumption Quantity LC",""
"D Load Plan Resource Consumption Quantity COC Change %",""
"D Load Plan Resource Consumption Quantity",""
"D Load Plan Res Consumed Qty","['Resource Consumed Qty']"
"Schedule Receipt Quantity TG LC","[]"
"Schedule Receipt Quantity TG","[]"
"D Load Plan Planned Supply","['Planned Supply']"
"D Load Plan Material Production Quantity UI",""
"D Load Plan Material Production Quantity LC",""
"D Load Plan Material Production Quantity COC Change %",""
"D Load Plan Material Production Quantity",""
"D Load Plan Firm Supply","['Firm Supply']"
"D Level to pegging",""
"M Ending On Hand ET Sim","[]"
"D Item BOM Routing Priority","['Mfg Priority', 'Mfg Priority']"
"D Item BOM Routing Min LotSize","['Item BOM Routing - Min Lot Size']"
"Scope 1 Stationary Intensity Metrics Product Weight","['Product Weight']"
"Scope 1 Stationary Intensity Metrics Product Handled","['Product Handled']"
"Scope 1 Mobile Intensity Metrics TKM","['TKM']"
"Scope 1 Mobile Intensity Metrics Product Handled","['Product Handled']"
"Scope 1 Fugitive Intensity Metrics Product Weight","['Product Weight']"
"D MFG Produced Yield Time Varying Override","[]"
"Scope 3 C4 Intensity Metrics TKM","['TKM']"
"Scope 3 C4 Intensity Metrics Product Handled","['Product Handled']"
"Scope 2 Steam Intensity Metrics Product Weight","['Product Weight']"
"Scope 2 MB Emissions","[]"
"Scope 2 MB Emission Source Info","['Source Name']"
"Scope 2 MB Emission Factor","['Final Emission Factor']"
"Scope 2 LB Emissions","[]"
"Scope 2 LB Emission Source Info MK","['Source Name']"
"Scope 2 LB Emission Source Info Customer","['Source Name']"
"Scope 2 LB Emission Factor MK","['Emission Factor']"
"Scope 2 LB Emission Factor Customer","['Emission Factor']"
"Scope 2 Heat Intensity Metrics Product Weight","['Product Weight']"
"Scope 2 Final Emission Source Info","[]"
"Scope 2 Electricity Intensity Metrics Product Weight","['Product Weight']"
"Scope 2 Cooling Intensity Metrics Product Weight","['Product Weight']"
"Scope 2 Consumption Classification","[]"
"D Inventory Holding Cost","['Inventory Holding Cost']"
"M Ending On Hand ET","['Ending Stock Expected Trigger']"
"Item Purchase Price","[]"
"D Input Resource Priority","['Input Resource Priority']"
"Seasonality Component L1","[]"
"Seasonal Strength L1","[]"
"Seasonal Periods L1","[]"
"Seasonal Naive YoY Model","[]"
"Seasonal Aisle","[]"
"Scope3 vs Total Scope%",""
"Scope2 vs Total Scope%",""
"Scope1 vs Total Scope%",""
"Scope 3 Intensity Metrics TKM","['TKM']"
"Scope 3 Intensity Metrics Product Handled","['Product Handled']"
"Scope 3 C9 Intensity Metrics TKM","['TKM']"
"Scope 3 C9 Intensity Metrics Product Handled","['Product Handled']"
"D Gross Margin Percentage","['Gross Margin %']"
"M Material Constrained","['Material Constrained']"
"M LP Active","['Objective Is Active']"
"D Flex2 Item Supplier Capacity Baseline","['Flex2 Item Supplier Capacity Baseline']"
"M Input Resource Priority","['Input Resource Priority']"
"M Infinite Material Node","['Infinite Material Node']"
"D Flex2 Item Shared Supplier Capacity Baseline","['Flex2 Item Shared Supplier Capacity Baseline']"
"D Flex2 Item Shared Supplier Capacity","[]"
"D Item BOM Routing LotSize Increment","['Item BOM Routing - Lot Size Increment']"
"D Item BOM Routing Association","[]"
"M Global Demand Build Late Limit","['Global Demand Build Late Limit']"
"M Global Demand Build Ahead Limit","['Global Demand Build Ahead Limit']"
"M Flex Capacity Utilization %","['Flex Capacity Utilization %']"
"Item Delete Flag Override","[]"
"Item Delete Flag Final","[]"
"Item Delete Flag","[]"
"Sell In Calc vs LC Gap %","[]"
"Sell In Calc vs LC Gap","[]"
"Sell In Calc Lag1","[]"
"Sell In Calc LY","[]"
"Sell In Calc LC","[]"
"M Material RCA UI",""
"D Flex1 Item Supplier Capacity Baseline","['Flex1 Item Supplier Capacity Baseline']"
"M Material RCA Quantity","['Material Constraint Quantity']"
"M Material Production Pegged Quantity",""
"D Flex1 Item Shared Supplier Capacity Baseline","['Flex1 Item Shared Supplier Capacity Baseline']"
"D Flex1 Item Shared Supplier Capacity","[]"
"D Flex Cost Band 2 Per Unit Graph",""
"D Flex Cost Band 1 Per Unit Graph",""
"Segmentation History Period","[]"
"Seed Selection","[]"
"M Plan Current Bucket","['Plan Current Bucket']"
"Sell Out Stat Fcst LC","[]"
"Sell Out Lag3","[]"
"Sell Out Lag2","[]"
"D Final Production Plan Recommendation","['Final Recommendation']"
"M Number Total Overloads","['Number Total Overloads']"
"M Number Capacity Underloads","['Number Capacity Underloads']"
"M Number Base Overloads","['Number Base Overloads']"
"Item Location Realignment Percentages Sum","[]"
"Item Location Realignment Percentage Weighted",""
"Item Location Realignment Percentage",""
"Item Location Realignment Created On",""
"D Excess Stock Inv Days Threshold","['Excess DOS Threshold']"
"D Excess Item Stock Inv Days Threshold","['Excess DOS Threshold']"
"Sell In Override","[]"
"Sell In Calc vs LY Gap %","[]"
"Sell In Calc vs LY Gap","[]"
"Shelf","[]"
"Item Location Realignment Created By",""
"Sell Out Tournament Fcst","[]"
"Sell Out Stat Fcst vs LY Gap %","[]"
"Sell Out Stat Fcst vs LY Gap","[]"
"Sell Out Stat Fcst vs LC Gap %","[]"
"Sell Out Stat Fcst vs LC Gap","[]"
"Sell Out Stat Fcst Model2 vs LY Gap %","[]"
"Sell Out Stat Fcst Model2 vs LY Gap","[]"
"Sell Out Stat Fcst Model2 vs LC Gap %","[]"
"Sell Out Stat Fcst Model2 vs LC Gap","[]"
